,Reason 1,Reason 2,Reason 3,Reason 4,Month,Weekday,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
51,0,0,0,0,September,Monday,225,26,28,241.476,24,0,1,2,0
52,0,0,0,1,September,Tuesday,225,26,28,241.476,24,0,1,2,2
53,0,0,0,1,September,Tuesday,118,10,37,241.476,28,0,0,0,2
54,0,0,0,0,September,Tuesday,289,36,33,241.476,30,0,2,1,0
55,0,0,0,0,September,Tuesday,118,13,50,241.476,31,0,1,0,0
56,0,0,1,0,September,Wednesday,225,26,28,241.476,24,0,1,2,3
57,0,0,0,1,September,Wednesday,179,51,38,241.476,31,0,0,0,3
58,0,0,0,0,September,Wednesday,369,17,31,241.476,25,0,3,0,0
59,0,0,0,1,September,Friday,248,25,47,241.476,32,0,2,1,1
60,0,0,0,1,September,Friday,179,51,38,241.476,31,0,0,0,3
61,0,0,0,1,September,Friday,260,50,36,241.476,23,0,4,0,4
62,0,0,0,1,October,Tuesday,179,51,38,253.465,31,0,0,0,3
63,0,0,0,1,October,Tuesday,118,10,37,253.465,28,0,0,0,3
64,0,0,0,0,October,Wednesday,118,13,50,253.465,31,0,1,0,0
65,0,0,0,1,October,Thursday,179,26,30,253.465,19,1,0,0,1
66,0,0,0,1,October,Friday,179,51,38,253.465,31,0,0,0,3
67,0,0,0,1,October,Friday,225,26,28,253.465,24,0,1,2,3
68,0,0,0,1,October,Tuesday,118,10,37,253.465,28,0,0,0,3
69,0,0,0,1,October,Wednesday,225,26,28,253.465,24,0,1,2,2
70,0,0,0,1,October,Wednesday,248,25,47,253.465,32,0,2,1,2
71,0,0,0,1,October,Thursday,291,31,40,253.465,25,0,1,1,5
72,0,0,0,1,October,Wednesday,179,51,38,253.465,31,0,0,0,8
73,0,0,0,1,October,Wednesday,225,26,28,253.465,24,0,1,2,3
74,0,0,1,0,October,Thursday,260,50,36,253.465,23,0,4,0,16
75,1,0,0,0,October,Tuesday,291,31,40,253.465,25,0,1,1,8
76,0,0,0,1,October,Tuesday,225,26,28,253.465,24,0,1,2,2
77,0,0,0,1,October,Wednesday,289,36,33,253.465,30,0,2,1,8
78,0,0,0,1,October,Friday,361,52,28,253.465,27,0,1,4,1
79,0,0,0,1,October,Friday,260,50,36,253.465,23,0,4,0,3
80,0,0,0,1,November,Thursday,179,51,38,306.345,31,0,0,0,1
81,0,0,0,1,November,Wednesday,225,26,28,306.345,24,0,1,2,1
82,1,0,0,0,November,Thursday,179,51,38,306.345,31,0,0,0,8
83,0,0,1,0,November,Thursday,179,22,40,306.345,22,1,2,0,8
84,0,0,0,1,November,Thursday,291,31,40,306.345,25,0,1,1,5
85,1,0,0,0,November,Monday,155,12,34,306.345,25,0,2,0,32
86,0,0,0,1,November,Monday,189,29,33,306.345,25,0,2,2,8
87,1,0,0,0,November,Monday,291,31,40,306.345,25,0,1,1,40
88,0,0,0,1,November,Wednesday,225,26,28,306.345,24,0,1,2,1
89,1,0,0,0,November,Friday,155,12,34,306.345,25,0,2,0,8
90,0,0,0,1,November,Wednesday,225,26,28,306.345,24,0,1,2,3
91,0,0,1,0,November,Wednesday,179,22,40,306.345,22,1,2,0,8
92,1,0,0,0,November,Friday,225,26,28,306.345,24,0,1,2,3
93,0,0,0,1,November,Friday,260,50,36,306.345,23,0,4,0,4
94,0,0,0,1,November,Monday,248,25,47,306.345,32,0,2,1,1
95,0,0,0,1,November,Tuesday,225,26,28,306.345,24,0,1,2,3
96,1,0,0,0,November,Wednesday,289,36,33,306.345,30,0,2,1,24
97,0,0,0,1,November,Thursday,291,31,40,306.345,25,0,1,1,3
98,0,0,0,1,December,Tuesday,248,25,47,261.306,32,0,2,1,1
99,0,0,1,0,December,Tuesday,118,10,37,261.306,28,0,0,0,64
100,0,0,0,1,December,Wednesday,118,13,50,261.306,31,0,1,0,2
101,0,0,0,1,December,Wednesday,235,11,37,261.306,29,1,1,1,8
102,0,0,0,1,December,Thursday,225,26,28,261.306,24,0,1,2,2
103,0,0,0,1,December,Friday,260,50,36,261.306,23,0,4,0,8
104,0,0,1,0,December,Tuesday,118,10,37,261.306,28,0,0,0,56
105,0,0,0,1,December,Wednesday,361,52,28,261.306,27,0,1,4,8
106,0,0,0,1,December,Thursday,225,26,28,261.306,24,0,1,2,3
107,0,0,0,1,December,Friday,260,50,36,261.306,23,0,4,0,3
108,0,0,0,1,December,Tuesday,225,26,28,261.306,24,0,1,2,2
109,0,0,0,1,December,Wednesday,361,52,28,261.306,27,0,1,4,8
110,0,0,0,1,December,Friday,118,10,37,261.306,28,0,0,0,2
111,0,0,1,0,December,Friday,246,25,41,261.306,23,0,0,0,8
112,0,0,0,1,December,Friday,225,26,28,261.306,24,0,1,2,2
113,0,0,0,1,January,Wednesday,225,26,28,308.593,24,0,1,2,1
114,0,0,1,0,January,Monday,118,10,37,308.593,28,0,0,0,1
115,0,0,0,1,January,Tuesday,118,10,37,308.593,28,0,0,0,1
116,0,0,1,0,January,Tuesday,155,12,34,308.593,25,0,2,0,8
117,0,0,0,1,January,Wednesday,225,26,28,308.593,24,0,1,2,2
118,0,0,0,1,January,Thursday,184,42,27,308.593,21,0,0,0,2
119,0,0,0,1,January,Thursday,225,26,28,308.593,24,0,1,2,2
120,0,0,0,1,January,Friday,225,26,28,308.593,24,0,1,2,1
121,0,0,0,1,January,Monday,118,10,37,308.593,28,0,0,0,2
122,0,0,0,1,January,Tuesday,225,26,28,308.593,24,0,1,2,2
123,0,0,0,1,January,Tuesday,118,10,37,308.593,28,0,0,0,2
124,0,0,0,1,January,Wednesday,118,10,37,308.593,28,0,0,0,2
125,0,0,0,1,January,Thursday,118,10,37,308.593,28,0,0,0,2
126,0,0,0,1,January,Friday,118,10,37,308.593,28,0,0,0,2
127,0,0,0,1,January,Monday,118,10,37,308.593,28,0,0,0,2
128,0,0,0,1,January,Tuesday,118,10,37,308.593,28,0,0,0,2
129,0,0,1,0,January,Tuesday,179,26,30,308.593,19,1,0,0,8
130,0,0,1,0,January,Tuesday,289,36,33,308.593,30,0,2,1,8
131,0,0,0,1,January,Wednesday,118,10,37,308.593,28,0,0,0,2
132,0,0,0,1,January,Thursday,184,42,27,308.593,21,0,0,0,2
133,0,0,0,1,January,Thursday,118,10,37,308.593,28,0,0,0,2
134,0,0,0,1,January,Monday,118,10,37,308.593,28,0,0,0,0
135,0,0,0,1,January,Tuesday,225,26,28,308.593,24,0,1,2,1
136,0,0,0,1,January,Thursday,289,36,33,308.593,30,0,2,1,3
137,0,0,0,1,February,Friday,184,42,27,302.585,21,0,0,0,1
138,1,0,0,0,February,Wednesday,246,25,41,302.585,23,0,0,0,8
139,1,0,0,0,February,Wednesday,179,51,38,302.585,31,0,0,0,8
140,0,0,0,1,February,Thursday,155,12,34,302.585,25,0,2,0,2
141,0,0,0,1,February,Thursday,189,29,33,302.585,25,0,2,2,8
142,0,0,0,1,February,Friday,260,50,36,302.585,23,0,4,0,2
143,0,0,0,1,February,Friday,289,36,33,302.585,30,0,2,1,8
144,1,0,0,0,February,Monday,388,15,50,302.585,24,0,0,0,8
145,1,0,0,0,February,Tuesday,388,15,50,302.585,24,0,0,0,8
146,0,0,0,1,February,Monday,225,26,28,302.585,24,0,1,2,2
147,0,0,0,1,February,Tuesday,225,26,28,302.585,24,0,1,2,2
148,0,0,0,1,February,Tuesday,179,26,30,302.585,19,1,0,0,1
149,0,0,0,1,February,Tuesday,184,42,27,302.585,21,0,0,0,8
150,0,0,0,1,February,Thursday,225,26,28,302.585,24,0,1,2,3
151,0,0,1,0,February,Monday,330,16,28,302.585,25,1,0,0,8
152,0,0,0,1,February,Tuesday,330,16,28,302.585,25,1,0,0,1
153,0,0,0,1,February,Wednesday,225,26,28,302.585,24,0,1,2,1
154,0,0,1,0,February,Thursday,189,29,33,302.585,25,0,2,2,8
155,0,0,0,1,March,Tuesday,291,50,32,343.253,23,0,0,0,2
156,0,0,1,0,March,Tuesday,260,50,36,343.253,23,0,4,0,8
157,0,0,1,0,March,Tuesday,157,27,29,343.253,22,0,0,0,3
158,0,1,0,0,March,Tuesday,179,22,40,343.253,22,1,2,0,8
159,0,0,0,1,March,Wednesday,291,31,40,343.253,25,0,1,1,8
160,1,0,0,0,March,Wednesday,260,50,36,343.253,23,0,4,0,8
161,1,0,0,0,March,Thursday,179,26,30,343.253,19,1,0,0,8
162,1,0,0,0,March,Friday,248,25,47,343.253,32,0,2,1,3
163,1,0,0,0,March,Friday,260,50,36,343.253,23,0,4,0,40
164,1,0,0,0,March,Monday,179,22,40,343.253,22,1,2,0,40
165,1,0,0,0,March,Monday,155,12,34,343.253,25,0,2,0,16
166,0,0,0,1,March,Monday,260,50,36,343.253,23,0,4,0,16
167,1,0,0,0,March,Tuesday,155,12,34,343.253,25,0,2,0,8
168,1,0,0,0,March,Thursday,289,36,33,343.253,30,0,2,1,8
169,1,0,0,0,March,Thursday,179,22,40,343.253,22,1,2,0,8
170,0,0,0,1,March,Friday,260,50,36,343.253,23,0,4,0,4
171,0,0,0,1,March,Friday,225,26,28,343.253,24,0,1,2,1
172,1,0,0,0,March,Monday,279,5,39,343.253,24,0,2,0,8
173,1,0,0,0,March,Tuesday,179,51,38,343.253,31,0,0,0,24
174,0,0,0,1,March,Wednesday,225,26,28,343.253,24,0,1,2,2
175,1,0,0,0,March,Monday,225,26,28,343.253,24,0,1,2,8
176,1,0,0,0,March,Monday,179,26,30,343.253,19,1,0,0,1
177,1,0,0,0,March,Tuesday,225,26,28,343.253,24,0,1,2,8
178,1,0,0,0,March,Wednesday,225,26,28,343.253,24,0,1,2,16
179,1,0,0,0,March,Wednesday,179,51,38,343.253,31,0,0,0,3
180,1,0,0,0,March,Thursday,279,5,39,343.253,24,0,2,0,16
181,0,0,0,1,March,Friday,225,26,28,343.253,24,0,1,2,2
182,1,0,0,0,March,Friday,248,25,47,343.253,32,0,2,1,3
183,0,0,0,1,March,Monday,225,26,28,343.253,24,0,1,2,1
184,0,0,0,1,April,Wednesday,291,31,40,326.452,25,0,1,1,1
185,0,0,0,1,April,Wednesday,225,26,28,326.452,24,0,1,2,1
186,0,0,0,1,April,Tuesday,155,12,34,326.452,25,0,2,0,1
187,1,0,0,0,April,Wednesday,246,25,41,326.452,23,0,0,0,24
188,0,0,0,1,April,Thursday,155,12,34,326.452,25,0,2,0,1
189,0,0,0,1,April,Friday,225,26,28,326.452,24,0,1,2,2
190,0,0,0,1,April,Friday,260,50,36,326.452,23,0,4,0,4
191,1,0,0,0,April,Wednesday,179,51,38,326.452,31,0,0,0,24
192,0,0,0,1,April,Thursday,118,13,50,326.452,31,0,1,0,1
193,0,0,0,1,April,Friday,291,31,40,326.452,25,0,1,1,3
194,1,0,0,0,April,Friday,246,25,41,326.452,23,0,0,0,8
195,0,0,0,1,April,Friday,291,31,40,326.452,25,0,1,1,1
196,0,0,0,1,April,Friday,248,25,47,326.452,32,0,2,1,8
197,0,0,1,0,April,Friday,260,50,36,326.452,23,0,4,0,56
198,0,0,1,0,April,Tuesday,289,36,33,326.452,30,0,2,1,8
199,1,0,0,0,April,Wednesday,155,12,34,326.452,25,0,2,0,24
200,0,0,1,0,April,Wednesday,378,49,36,326.452,21,0,2,4,8
201,1,0,0,0,April,Thursday,289,36,33,326.452,30,0,2,1,16
202,1,0,0,0,April,Friday,235,11,37,326.452,29,1,1,1,3
203,0,0,0,0,April,Monday,235,29,48,326.452,33,0,1,5,0
204,1,0,0,0,May,Wednesday,289,36,33,378.884,30,0,2,1,8
205,0,0,0,1,May,Thursday,155,12,34,378.884,25,0,2,0,2
206,0,0,0,1,May,Monday,155,12,34,378.884,25,0,2,0,1
207,0,0,1,0,May,Tuesday,179,51,38,378.884,31,0,0,0,8
208,0,0,1,0,May,Tuesday,225,26,28,378.884,24,0,1,2,8
209,1,0,0,0,May,Wednesday,184,42,27,378.884,21,0,0,0,4
210,0,0,0,1,May,Monday,155,12,34,378.884,25,0,2,0,2
211,1,0,0,0,May,Tuesday,179,51,38,378.884,31,0,0,0,1
212,1,0,0,0,May,Wednesday,289,36,33,378.884,30,0,2,1,24
213,0,0,0,0,May,Wednesday,279,5,39,378.884,24,0,2,0,0
214,0,0,0,0,May,Wednesday,330,16,28,378.884,25,1,0,0,0
215,0,0,0,0,May,Wednesday,378,49,36,378.884,21,0,2,4,0
216,0,0,0,0,May,Wednesday,388,15,50,378.884,24,0,0,0,0
217,1,0,0,0,May,Tuesday,179,51,38,378.884,31,0,0,0,1
218,1,0,0,0,May,Wednesday,118,13,50,378.884,31,0,1,0,24
219,0,0,0,1,May,Friday,361,52,28,378.884,27,0,1,4,8
220,0,0,1,0,June,Monday,246,25,41,377.55,23,0,0,0,8
221,0,0,0,1,June,Monday,361,52,28,377.55,27,0,1,4,8
222,1,0,0,0,June,Tuesday,246,25,41,377.55,23,0,0,0,24
223,0,0,0,1,June,Thursday,291,31,40,377.55,25,0,1,1,4
224,1,0,0,0,June,Friday,246,25,41,377.55,23,0,0,0,8
225,1,0,0,0,June,Monday,179,51,38,377.55,31,0,0,0,8
226,0,0,0,1,June,Monday,155,12,34,377.55,25,0,2,0,4
227,1,0,0,0,June,Monday,246,25,41,377.55,23,0,0,0,8
228,1,0,0,0,June,Wednesday,118,13,50,377.55,31,0,1,0,8
229,1,0,0,0,June,Friday,235,11,37,377.55,29,1,1,1,16
230,0,0,0,1,June,Tuesday,118,13,50,377.55,31,0,1,0,1
231,1,0,0,0,June,Wednesday,118,13,50,377.55,31,0,1,0,80
232,0,0,0,1,June,Thursday,378,49,36,377.55,21,0,2,4,8
233,1,0,0,0,June,Friday,179,51,38,377.55,31,0,0,0,2
234,0,0,0,1,June,Monday,289,48,49,377.55,36,0,0,2,2
235,0,0,0,1,June,Thursday,225,26,28,377.55,24,0,1,2,2
236,0,0,1,0,July,Tuesday,155,12,34,275.312,25,0,2,0,16
237,1,0,0,0,July,Wednesday,118,13,50,275.312,31,0,1,0,8
238,1,0,0,0,July,Friday,118,10,37,275.312,28,0,0,0,8
239,0,0,0,1,July,Friday,118,10,37,275.312,28,0,0,0,4
240,0,0,0,1,July,Tuesday,330,16,28,275.312,25,1,0,0,8
241,0,0,1,0,July,Thursday,179,26,30,275.312,19,1,0,0,8
242,0,0,0,1,July,Friday,155,12,34,275.312,25,0,2,0,2
243,1,0,0,0,July,Monday,330,16,28,275.312,25,1,0,0,8
244,1,0,0,0,July,Tuesday,330,16,28,275.312,25,1,0,0,8
245,0,0,0,1,July,Monday,157,27,29,275.312,22,0,0,0,3
246,0,0,0,1,July,Tuesday,361,52,28,275.312,27,0,1,4,8
247,0,0,0,1,July,Wednesday,289,36,33,275.312,30,0,2,1,8
248,0,0,0,1,July,Thursday,179,51,38,275.312,31,0,0,0,8
249,0,0,1,0,July,Monday,289,36,33,275.312,30,0,2,1,32
250,0,0,1,0,July,Thursday,289,36,33,275.312,30,0,2,1,8
251,0,0,0,0,July,Thursday,260,50,36,275.312,23,0,4,0,0
252,0,0,1,0,August,Thursday,289,36,33,265.615,30,0,2,1,8
253,0,0,1,0,August,Thursday,157,27,29,265.615,22,0,0,0,3
254,0,0,0,1,August,Sunday,289,36,33,265.615,30,0,2,1,1
255,0,0,1,0,August,Monday,228,14,58,265.615,22,0,2,1,8
256,1,0,0,0,August,Wednesday,300,26,43,265.615,25,0,2,1,1
257,1,0,0,0,August,Wednesday,300,26,43,265.615,25,0,2,1,2
258,0,0,0,1,August,Thursday,260,50,36,265.615,23,0,4,0,4
259,0,0,0,1,August,Monday,289,36,33,265.615,30,0,2,1,4
260,0,0,0,1,August,Tuesday,248,25,47,265.615,32,0,2,1,1
261,1,0,0,0,August,Wednesday,268,11,33,265.615,25,1,0,0,8
262,0,0,0,1,August,Wednesday,179,26,30,265.615,19,1,0,0,1
263,1,0,0,0,August,Wednesday,118,13,50,265.615,31,0,1,0,3
264,0,0,0,1,August,Sunday,248,25,47,265.615,32,0,2,1,2
265,0,0,0,1,August,Monday,235,11,37,265.615,29,1,1,1,1
266,0,0,0,1,August,Wednesday,118,13,50,265.615,31,0,1,0,1
267,0,0,1,0,August,Wednesday,235,11,37,265.615,29,1,1,1,8
268,1,0,0,0,August,Monday,361,52,28,265.615,27,0,1,4,8
269,1,0,0,0,August,Tuesday,184,42,27,265.615,21,0,0,0,8
270,1,0,0,0,September,Monday,179,51,38,294.217,31,0,0,0,8
271,0,0,0,1,September,Friday,179,51,38,294.217,31,0,0,0,3
272,0,0,1,0,September,Wednesday,289,36,33,294.217,30,0,2,1,24
273,0,0,0,0,September,Thursday,235,20,43,294.217,38,0,1,0,0
274,1,0,0,0,September,Monday,246,25,41,294.217,23,0,0,0,16
275,0,0,0,1,September,Tuesday,291,31,40,294.217,25,0,1,1,3
276,0,0,0,0,September,Tuesday,231,35,39,294.217,35,0,2,2,0
277,0,0,0,0,September,Tuesday,291,50,32,294.217,23,0,0,0,0
278,1,0,0,0,September,Wednesday,179,51,38,294.217,31,0,0,0,8
279,1,0,0,0,September,Wednesday,246,25,41,294.217,23,0,0,0,32
280,0,0,0,1,September,Thursday,179,51,38,294.217,31,0,0,0,1
281,0,0,0,1,September,Friday,291,31,40,294.217,25,0,1,1,4
282,0,0,0,1,September,Friday,260,50,36,294.217,23,0,4,0,4
283,0,0,0,1,September,Wednesday,235,20,43,294.217,38,0,1,0,8
284,0,0,0,1,September,Thursday,118,13,50,294.217,31,0,1,0,1
285,0,0,0,0,September,Thursday,235,20,43,294.217,38,0,1,0,0
286,0,0,0,1,September,Friday,291,31,40,294.217,25,0,1,1,3
287,1,0,0,0,September,Monday,291,31,40,294.217,25,0,1,1,40
288,1,0,0,0,September,Monday,179,51,38,294.217,31,0,0,0,8
289,0,0,0,1,October,Wednesday,289,36,33,265.017,30,0,2,1,8
290,0,0,0,1,October,Wednesday,235,11,37,265.017,29,1,1,1,4
291,0,0,0,1,October,Wednesday,289,36,33,265.017,30,0,2,1,8
292,0,0,0,1,October,Thursday,289,36,33,265.017,30,0,2,1,8
293,0,0,0,0,October,Thursday,118,13,50,265.017,31,0,1,0,0
294,0,0,0,0,October,Thursday,248,25,47,265.017,32,0,2,1,0
295,1,0,0,0,October,Wednesday,179,26,30,265.017,19,1,0,0,8
296,1,0,0,0,October,Wednesday,118,10,37,265.017,28,0,0,0,3
297,0,0,0,1,October,Wednesday,369,17,31,265.017,25,0,3,0,8
298,0,0,0,1,October,Friday,179,51,38,265.017,31,0,0,0,1
299,1,0,0,0,October,Friday,179,26,30,265.017,19,1,0,0,64
300,0,0,0,0,October,Friday,235,20,43,265.017,38,0,1,0,0
301,0,0,1,0,October,Saturday,289,36,33,265.017,30,0,2,1,16
302,0,0,0,1,October,Sunday,260,50,36,265.017,23,0,4,0,3
303,0,0,0,0,October,Sunday,235,20,43,265.017,38,0,1,0,0
304,0,0,0,1,October,Wednesday,235,20,43,265.017,38,0,1,0,2
305,0,0,0,1,October,Wednesday,235,20,43,265.017,38,0,1,0,2
306,0,0,0,1,October,Thursday,118,13,50,265.017,31,0,1,0,1
307,0,0,0,1,October,Thursday,291,31,40,265.017,25,0,1,1,4
308,0,0,0,1,October,Saturday,179,26,30,265.017,19,1,0,0,16
309,0,0,0,1,October,Saturday,118,13,50,265.017,31,0,1,0,1
310,1,0,0,0,October,Wednesday,361,52,28,265.017,27,0,1,4,8
311,0,0,0,0,October,Thursday,260,50,36,265.017,23,0,4,0,0
312,0,0,0,0,October,Thursday,291,31,40,265.017,25,0,1,1,0
313,0,0,0,0,October,Thursday,157,27,29,265.017,22,0,0,0,0
314,1,0,0,0,October,Friday,179,26,30,265.017,19,1,0,0,5
315,1,0,0,0,October,Friday,179,26,30,265.017,19,1,0,0,5
316,0,0,0,1,October,Saturday,118,13,50,265.017,31,0,1,0,1
317,1,0,0,0,November,Monday,118,10,37,284.031,28,0,0,0,8
318,0,0,0,1,November,Monday,248,25,47,284.031,32,0,2,1,2
319,1,0,0,0,November,Tuesday,179,51,38,284.031,31,0,0,0,8
320,0,0,0,1,November,Friday,260,50,36,284.031,23,0,4,0,3
321,0,0,0,1,November,Monday,291,31,40,284.031,25,0,1,1,1
322,1,0,0,0,November,Monday,378,49,36,284.031,21,0,2,4,8
323,1,0,0,0,November,Monday,155,12,34,284.031,25,0,2,0,120
324,0,0,0,1,November,Monday,235,20,43,284.031,38,0,1,0,8
325,0,0,0,0,November,Tuesday,330,16,28,284.031,25,1,0,0,0
326,0,0,1,0,November,Wednesday,235,11,37,284.031,29,1,1,1,1
327,1,0,0,0,November,Wednesday,118,10,37,284.031,28,0,0,0,3
328,0,0,0,1,November,Thursday,235,11,37,284.031,29,1,1,1,2
329,0,0,0,1,November,Thursday,179,51,38,284.031,31,0,0,0,3
330,1,0,0,0,November,Friday,246,25,41,284.031,23,0,0,0,8
331,1,0,0,0,November,Friday,291,31,40,284.031,25,0,1,1,4
332,1,0,0,0,November,Monday,246,25,41,284.031,23,0,0,0,8
333,0,0,0,1,November,Tuesday,179,51,38,284.031,31,0,0,0,1
334,1,0,0,0,November,Wednesday,260,50,36,284.031,23,0,4,0,8
335,0,1,0,0,November,Friday,260,50,36,284.031,23,0,4,0,8
336,0,0,0,0,November,Friday,378,49,36,284.031,21,0,2,4,0
337,0,0,0,0,November,Tuesday,279,5,39,284.031,24,0,2,0,0
338,0,0,0,1,November,Thursday,179,51,38,284.031,31,0,0,0,1
339,1,0,0,0,December,Monday,225,26,28,236.629,24,0,1,2,3
340,0,0,0,1,December,Monday,179,51,38,236.629,31,0,0,0,2
341,0,0,0,1,December,Monday,179,51,38,236.629,31,0,0,0,1
342,0,0,0,1,December,Monday,235,11,37,236.629,29,1,1,1,3
343,0,0,0,1,December,Tuesday,118,13,50,236.629,31,0,1,0,1
344,0,0,0,1,December,Friday,260,50,36,236.629,23,0,4,0,4
345,1,0,0,0,December,Thursday,246,25,41,236.629,23,0,0,0,8
346,0,0,0,1,December,Thursday,179,51,38,236.629,31,0,0,0,1
347,0,0,0,1,December,Friday,179,51,38,236.629,31,0,0,0,1
348,0,0,0,1,December,Tuesday,179,26,30,236.629,19,1,0,0,1
349,0,0,0,1,December,Tuesday,118,10,37,236.629,28,0,0,0,8
350,0,0,0,1,December,Thursday,235,11,37,236.629,29,1,1,1,2
351,0,0,0,1,December,Friday,179,51,38,236.629,31,0,0,0,1
352,1,0,0,0,December,Tuesday,235,20,43,236.629,38,0,1,0,8
353,1,0,0,0,December,Tuesday,235,11,37,236.629,29,1,1,1,4
354,0,0,0,1,December,Wednesday,260,50,36,236.629,23,0,4,0,8
355,0,0,0,1,December,Monday,157,27,29,236.629,22,0,0,0,2
356,0,0,0,1,December,Monday,179,51,38,236.629,31,0,0,0,3
357,0,0,1,0,December,Monday,289,36,33,236.629,30,0,2,1,8
358,0,0,0,1,January,Wednesday,225,26,28,330.061,24,0,1,2,5
359,0,0,1,0,January,Monday,118,10,37,330.061,28,0,0,0,32
360,0,0,0,1,January,Monday,155,12,34,330.061,25,0,2,0,2
361,1,0,0,0,January,Tuesday,235,11,37,330.061,29,1,1,1,1
362,0,0,0,1,January,Tuesday,155,12,34,330.061,25,0,2,0,4
363,0,0,0,1,January,Monday,289,36,33,330.061,30,0,2,1,8
364,1,0,0,0,January,Wednesday,291,31,40,330.061,25,0,1,1,8
365,0,0,0,1,January,Monday,235,20,43,330.061,38,0,1,0,8
366,0,0,0,1,January,Monday,118,13,50,330.061,31,0,1,0,4
367,0,0,0,1,January,Wednesday,179,51,38,330.061,31,0,0,0,1
368,0,0,0,1,January,Friday,179,51,38,330.061,31,0,0,0,1
369,0,0,0,1,February,Tuesday,118,10,37,251.818,28,0,0,0,2
370,0,0,0,1,February,Wednesday,179,51,38,251.818,31,0,0,0,3
371,1,0,0,0,February,Wednesday,225,26,28,251.818,24,0,1,2,1
372,0,0,0,1,February,Friday,289,36,33,251.818,30,0,2,1,3
